place,Lat,Long,OverallAverage,September,October,November,December,January,February,March,April
0,28.55949579,76.84454575,101.1673303,47.42430279,116.6865672,211.3452211,179.1477093,136.2505734,42.81521739,24.11804009,51.55101103
200,28.56349579,76.84454575,73.63671226,51.64752791,86.52575196,119.5206259,111.2546934,99.55240027,46.06905263,41.77025232,32.75339367
201,28.55949579,76.84454575,21.5,21.5,,,,,,,
321,28.56149579,76.84800985,79.63771602,60.8,80.6,143.6,125.0909091,96.20950324,63.4,35.52631579,31.875
441,28.55949579,76.85147396,81.37413727,66.8,92.30498534,162.75,119.4545455,98,45.97297297,36.48837209,29.22222222
562,28.55749579,76.85493806,72.53150664,49.8,96.6,124.125,113,86,46.44444444,33.7826087,30.5
681,28.55949579,76.85840216,56.40392648,48,61,68,62,62.5,51.32748538,42,
682,28.55549579,76.85840216,74.37604167,48.8,113,157.625,113,60.33333333,46,24.75,31.5
797,28.57749579,76.86186626,102.7613564,55.07905138,106.1885965,180.1111111,69.66666667,,,,
802,28.55749579,76.86186626,73.4568944,27.71886121,96.41176471,144.3,117.9689737,85.1,54.6,35.55555556,26
916,28.57949579,76.86533036,96.43703703,81.7,106.1111111,,101.5,,,,
917,28.57549579,76.86533036,118.6963761,43.8988764,120.5116279,181.5,128.875,,,,
921,28.55949579,76.86533036,169.3557699,106,273.8636364,287.6043165,134.6666667,108.6666667,,,105.3333333
1037,28.57749579,76.86879446,117.5714286,53.5,123.2857143,172,121.5,,,,
1038,28.57349579,76.86879446,127.1055624,58.88461538,121.8709677,175,152.6666667,,,,
1041,28.56149579,76.86879446,62.53780375,50.72727273,75,92.07277628,107.5,70,44.4,31.41666667,29.18571429
1042,28.55749579,76.86879446,83.01307743,55.08083832,150.2648305,137.75,129.4642857,76.04545455,60.90745501,31.40425532,23.1875
1158,28.57149579,76.87225857,124.0983193,58.76470588,119.4285714,177,141.2,,,,
1159,28.56749579,76.87225857,75.03513939,39.10746269,117.9,92.58684211,189.3811765,55.25,59.25,27.6056338,19.2
1160,28.56349579,76.87225857,46.27172189,43.72131148,32.25,66,66.57142857,57.14285714,46.51975684,34.36842105,23.6
1278,28.57349579,76.87572267,53.99345657,43.16666667,62.75,71,70.5,84,42.23098592,26.1,32.2
1279,28.56949579,76.87572267,40.81337086,35.46875,45.125,,49.5,55.75,33.875,37.724846,28.25
1396,28.57949579,76.87918677,68.41198389,33.39111111,74.84210526,95,110.3846154,100.4399441,67.57142857,39,26.66666667
1397,28.57549579,76.87918677,62.16673303,60.48908297,68.23529412,92.39823009,90.9752322,92.71428571,46.52173913,23,23
1409,28.52749579,76.87918677,10,,,,,,,10,
1514,28.58949579,76.88265087,130.8378941,48,194.9407745,,149.3767313,190.205298,,71.66666667,
1515,28.58549579,76.88265087,84.14365146,56.32643678,84.73333333,190.1843972,99.66666667,150.3353474,30.3030303,35.6,26
1516,28.58149579,76.88265087,58.42350644,56.10526316,81.42857143,81.95769231,119,53.72619048,31.66666667,30.50366748,13
1528,28.53349579,76.88265087,44.15714286,,33,42,61,69.5,53,34,16.6
1529,28.52949579,76.88265087,62.56508253,35.7150655,90.6969147,128.4386503,72.34724541,75.75381264,47.25123153,35.77453027,14.54320988
1632,28.59549579,76.88611497,37.75198413,39.96825397,51.66666667,,32,,36,29.125,
1633,28.59149579,76.88611497,62.63779705,59.16780045,88.41318328,,98.03355705,55.4,36.33333333,38.47890819,
1648,28.53149579,76.88611497,53.5,,,,46,,61,,
1649,28.52749579,76.88611497,53.2784817,49,51.8,85,73.64285714,66.69565217,45.45,33.63934426,21
1650,28.52349579,76.88611497,45.21428571,48,,73.5,47,66,38,33.5,10.5
1752,28.59749579,76.88957907,78.35104182,48.23076923,76.33333333,63.33333333,152.6745562,181.3653846,48.89777778,19,36.97318008
1770,28.52549579,76.88957907,55.82663795,28.85714286,73.98550725,98.17241379,78.15384615,66.69230769,46.87234043,33.925,19.95454545
1867,28.61549579,76.89304318,92.57114467,59.08108108,63.63235294,155,,,,,
1868,28.61149579,76.89304318,32.48333334,33.8,31.16666667,,,,,,
1869,28.60749579,76.89304318,39.58333334,52.5,26.66666667,,,,,,
1870,28.60349579,76.89304318,28.91666667,32.5,25.33333333,,,,,,
1871,28.59949579,76.89304318,124.7967213,46,94.6,233.7901639,,,,,
1872,28.59549579,76.89304318,72.62334315,35.25,86.11340206,91,141,76,51,28,
1889,28.52749579,76.89304318,71,,,71,,,,,
1890,28.52349579,76.89304318,54.08181204,32.25,66.14285714,101.3846154,79.4375,64.48,40.0952381,33.46428571,15.4
1987,28.61749579,76.89650728,84.01904762,39.2,50.85714286,162,,,,,
1988,28.61349579,76.89650728,71.61111111,48.33333333,37,129.5,,,,,
1992,28.59749579,76.89650728,71.29618807,51.47959184,67.28717472,123.423913,125.2630332,90.5,51.55555556,31.61023622,29.25
2010,28.52549579,76.89650728,59.91621061,36.5,89.11111111,105.5925926,77,69.51219512,45.56756757,35.42857143,20.61764706
2111,28.59949579,76.89997138,72.91685169,106.5979381,83.91082803,81.11363636,111.2962963,103.2416918,54.72850679,17.11258278,25.33333333
2129,28.52749579,76.89997138,57.91478978,34.54545455,100.5555556,80.76315789,78.34782609,65.54545455,50.26086957,36.13333333,17.16666667
2130,28.52349579,76.89997138,57.63764357,29.51685393,87.43159609,99.24193548,75.55769231,65.66216216,45.34782609,36.98058252,21.3625
2232,28.59749579,76.90343548,70.31819402,41.6875,74.16161616,117.6495375,113.8077922,106.5724382,48.74216028,29.32917706,30.59533074
2240,28.56549579,76.90343548,158,,,,158,,,,
2243,28.55349579,76.90343548,82.06715369,47.14285714,129.6666667,,80.55,70.90909091,,,
2249,28.52949579,76.90343548,62.3480717,36.90909091,78.90909091,137.4651163,68.79591837,63,57.71428571,37.42857143,18.5625
2250,28.52549579,76.90343548,60.37965576,36.31578947,71.48148148,106.8148148,78.75,69.9375,53.39393939,39.46,26.88372093
2351,28.59949579,76.90689958,83.60017072,79.62121212,126.1832061,157.5,100,83.22222222,58.42857143,38.84615385,25
2357,28.57549579,76.90689958,28.19298246,28.19298246,,,,,,,
2358,28.57149579,76.90689958,117.98125,47.6,238.125,,109.2,77,,,
2359,28.56749579,76.90689958,115.5892857,48.85714286,187.5,,125,101,,,
2360,28.56349579,76.90689958,123.5416667,48.33333333,247,,97.83333333,101,,,
2361,28.55949579,76.90689958,136.2946429,44.75,149.5,,123.4285714,227.5,,,
2362,28.55549579,76.90689958,106.4791667,37.66666667,172.5,,154.25,61.5,,,
2363,28.55149579,76.90689958,119.6078347,46.68,206,,151.4457831,74.30555556,,,
2364,28.54749579,76.90689958,153.6666667,39,192,,230,,,,
2368,28.53149579,76.90689958,56.73931705,34.68965517,62.80769231,93.66666667,76.02040816,73.55737705,52.31481481,41.08433735,19.77358491
2369,28.52749579,76.90689958,53.22321429,33.25,13,98,91.71428571,74,48,42.57142857,25.25
2471,28.60149579,76.91036368,53.91404159,43.72727273,54.81538462,,99,76.5,40,38.25,25.1056338
2472,28.59749579,76.91036368,105.6804628,37.84615385,111.1854839,165.4285714,218.8863636,94.16666667,53.25,59,
2475,28.58549579,76.91036368,46.5,41,,,51,47.5,,,
2476,28.58149579,76.91036368,57.1984127,44.5,,,54.66666667,72.42857143,,,
2477,28.57749579,76.91036368,87.44642858,47,131.5,,107.2857143,64,,,
2478,28.57349579,76.91036368,52.55555556,32,,,63,62.66666667,,,
2485,28.54549579,76.91036368,57.25,32,,,82.5,,,,
2486,28.54149579,76.91036368,100.6666667,30,185,,87,,,,
2487,28.53749579,76.91036368,63.60714286,42.33333333,144,,102.5,51.75,60,33.5,11.16666667
2488,28.53349579,76.91036368,60.24788377,29.49861496,71.89189189,100.2307692,83.19672131,79.14516129,51.49152542,43.21495327,23.31343284
2591,28.59949579,76.91382778,79.74156234,47.609375,108.2520325,113.542522,156.242236,91.96875,46.79166667,45.59734513,27.92857143
2592,28.59549579,76.91382778,45.61561303,46.55555556,,,47.4,51.3,,37.20689655,
2593,28.59149579,76.91382778,84.0408254,53,,,155.0224719,86.25,,41.89082969,
2594,28.58749579,76.91382778,61.55555555,54.33333333,,,63,67.33333333,,,
2595,28.58349579,76.91382778,105.5,56,,,155,,,,
2598,28.57149579,76.91382778,178,,,,178,,,,
2606,28.53949579,76.91382778,48.75296588,27.81889764,,,,87.44,,31,
2607,28.53549579,76.91382778,66.19620115,43.4,99.42857143,122.4756944,78.23809524,79.1625,52.2826087,24.41547278,30.16666667
2608,28.53149579,76.91382778,77,,,,,77,,,
2711,28.60149579,76.91729189,66.86039854,45.65591398,88.19172113,100.2301887,90.19148936,82.06451613,71.10769231,33.31666667,24.125
2712,28.59749579,76.91729189,73.60416667,79.3125,,,76.83333333,64.66666667,,,
2728,28.53349579,76.91729189,65.5252046,37.8,102.8292011,112.5,88.875,80.91176471,53.10526316,31.9929078,16.1875
2825,28.62349579,76.92075599,179.8788557,,200.3333333,181.5820896,195.6,,,142,
2831,28.59949579,76.92075599,61.96428231,51.28205128,69.975,106,59.20720721,93.66666667,51.66666667,36.25,27.66666667
2847,28.53549579,76.92075599,62.30307492,35.71428571,74.45,94.87215909,85.61111111,74.17241379,58.1,45.62962963,29.875
2848,28.53149579,76.92075599,63.03439836,34.11111111,87.19047619,104.7741935,80.80851064,69,56.85365854,38.74311927,32.79411765
2946,28.62149579,76.92422009,207.0416667,,209,186.5,229.6666667,203,,,
2951,28.60149579,76.92422009,73.3429023,45.45454545,107.4854369,137.1666667,103,80.18181818,52.64705882,33.30769231,27.5
2966,28.54149579,76.92422009,62.07276058,36.90909091,95.08333333,120.989011,78.42857143,72.28571429,37.6,36.65,18.63636364
2967,28.53749579,76.92422009,55.1747868,25.14197531,61.33333333,89.77272727,79.3125,67.6984127,52.71052632,40.734375,24.69444444
2968,28.53349579,76.92422009,69.49729437,,,133,69.5,68.25,63.09090909,57.14285714,26
2969,28.52949579,76.92422009,87.52916667,,,,92.1875,65.4,,105,
3066,28.61949579,76.92768419,136.7666667,,242.5,184,156.3333333,49,,52,
3070,28.60349579,76.92768419,75.58612651,48.7,82.7173913,146.0588235,114.1612903,97.38888889,54.15384615,35.84210526,25.66666667
3074,28.58749579,76.92768419,50,,50,,,,,,
3076,28.57949579,76.92768419,64,,,,,,,64,
3084,28.54749579,76.92768419,59.12539093,35.2,103.25,105.75,71.875,75.44444444,34.72727273,33.92307692,12.83333333
3085,28.54349579,76.92768419,54.83142397,42.61538462,60.09090909,96.5,72.1,65.64705882,45.93333333,37,18.76470588
3087,28.53549579,76.92768419,85.04283295,,,121,110.7142857,97.24390244,90.06666667,54.23214286,37
3088,28.53149579,76.92768419,99.38027921,,,138.1666667,116.6666667,108.9795918,112.6666667,72.46875,47.33333333
3186,28.62053726,76.93049647,49.56666667,,35.8,,63.33333333,,,,
3187,28.61749579,76.93114829,105.0984335,,43.72222222,172,146.0465116,58.625,,,
3188,28.61349579,76.93114829,161.5833333,,216,184,198.3333333,48,,,
3190,28.60549579,76.93114829,100.4932922,59.20994475,87.73972603,289.2066667,119.44,92.27272727,97.72727273,35.35,23
3191,28.60149579,76.93114829,53,,53,,,,,,
3194,28.58949579,76.93114829,53,,53,,,,,,
3195,28.58549579,76.93114829,152.6666667,,152.6666667,,,,,,
3204,28.54949579,76.93114829,56.87217284,32.66666667,81.57142857,100.08,72.58823529,69.84615385,43.79310345,34.87179487,19.56
3208,28.53349579,76.93114829,124.3583333,,,138,213.5,128.125,128.125,55,83.4
3209,28.52949579,76.93114829,146.0481685,,,248.5,217,119.0769231,129.7692308,81.14285714,80.8
3307,28.61549579,76.93461239,73.5,,,,,73.5,,,
3308,28.61149579,76.93461239,93,,,160,69,50,,,
3310,28.60349579,76.93461239,62.193981,44.41666667,67.07692308,93.33333333,77.22222222,75.4,61,33,46.1027027
3311,28.59949579,76.93461239,65.4,,65.4,,,,,,
3312,28.59549579,76.93461239,63.625,,63.625,,,,,,
3313,28.59149579,76.93461239,77,,77,,,,,,
3315,28.58349579,76.93461239,71,,71,,,,,,
3316,28.57949579,76.93461239,180.5,,180.5,,,,,,
3317,28.57549579,76.93461239,52.25,,52.25,,,,,,
3318,28.57149579,76.93461239,51.625,,51.625,,,,,,
3319,28.56749579,76.93461239,306,,,,306,,,,
3322,28.55549579,76.93461239,56.54918023,38.47058824,83.91318328,99.6,76.71428571,71.4,33.23076923,32.68,16.38461538
3323,28.55149579,76.93461239,50.42560932,26.69230769,78,79.63636364,73.23529412,59.88888889,38.11111111,31.09090909,16.75
3328,28.53149579,76.93461239,102.633708,,,146.2,120.9285714,116.8125,125.9411765,72.92,33
3428,28.61349579,76.9380765,159.5,,202,179.5,230,92,,94,
3430,28.60549579,76.9380765,71.48607335,41.7791411,77.18181818,137.9411765,109.1226415,87.70666667,60.6,33.7,23.85714286
3432,28.59749579,76.9380765,65.33333333,,65.33333333,,,,,,
3436,28.58149579,76.9380765,66.4,,66.4,,,,,,
3440,28.56549579,76.9380765,329,,,,,329,,,
3442,28.55749579,76.9380765,55.23029297,35.17241379,82.96153846,98.52631579,68.9047619,68.38461538,41.55555556,29.85714286,16.48
3449,28.52949579,76.9380765,89.45467836,,,120.2,114.7,101.7333333,100.2,62.39473684,37.5
3544,28.6268576,76.9427257,15.36666667,20.33333333,,,,,,,10.4
3548,28.61149579,76.9415406,168.4666667,,95,199,270.3333333,150.3333333,,127.6666667,
3549,28.60749579,76.9415406,75.46757037,45.03703704,81.35353535,135.7747989,111.8780488,102.6,58.60714286,38.24,30.25
3560,28.56349579,76.9415406,50.53150023,37.89473684,63.84615385,71.625,56.875,74.77777778,46.65,36.75,15.83333333
3561,28.55949579,76.9415406,62.60257324,22.66666667,70.08333333,176.832618,64.5,67.64705882,55.55555556,27.44444444,16.09090909
3569,28.52749579,76.9415406,80.7869769,,,112.3333333,110.9333333,99.59090909,88.83333333,45.38095238,27.65
3655,28.66549579,76.9450047,88.50849937,69.29166667,100.8,118.3953488,143.5685072,110.8054523,80.98656215,63.31169872,20.90875912
3656,28.66149579,76.9450047,71.07083333,48.55555556,93.41666667,107.7333333,102.75,88.2,42,56.8,29.11111111
3665,28.62549579,76.9450047,54.24356582,46.65686275,,69.61111111,,97,36.375,63.45,12.36842105
3669,28.60949579,76.9450047,81.20545929,53.45333333,81.16901408,173.7407407,118.8431373,98.23529412,57.39130435,41.62903226,25.18181818
3680,28.56549579,76.9450047,52.84922229,26.17647059,66.75,92.375,66,73.3,45.46153846,32.96153846,19.76923077
3689,28.52949579,76.9450047,78.19206348,,,105.3333333,111.2,103.1428571,64.33333333,35.14285714,50
3776,28.65949579,76.9484688,53.30975885,56.65,32.25,90.1875,72.8,56.33333333,53.27152318,43.78571429,21.2
3777,28.65549579,76.9484688,81.21124313,73.45833333,82.60606061,123.7179487,122.6666667,109.2,57,43.77777778,37.26315789
3778,28.65149579,76.9484688,46.5,74,,,,,,,19
3784,28.62749579,76.9484688,86.16666667,35.33333333,,,,,,137,
3785,28.62349579,76.9484688,175.5,,,175.5,,,,,
3789,28.60749579,76.9484688,84.98974567,56.04651163,89.91780822,157,120.3777778,109.3548387,59.53571429,41.45454545,46.23076923
3798,28.57149579,76.9484688,55.73508491,34.15789474,70.10526316,93.83333333,72.53846154,74.94444444,46.23809524,36.67857143,17.38461538
3799,28.56749579,76.9484688,59.66830547,37.83333333,87.5,94.09090909,70.77777778,84.625,47.08333333,34.57894737,20.85714286
3809,28.52749579,76.9484688,70.82506084,,,100.3157895,118.047619,92.08695652,52.75,35.25,26.5
3898,28.65349579,76.9519329,69.63759742,59.80555556,88.45454545,108.1282051,114.375,67.275,53.33333333,47.63157895,18.09756098
3899,28.64949579,76.9519329,73.54783072,65.8125,87.21212121,104.1860465,114.4,89.30769231,56.71428571,42.41666667,28.33333333
3905,28.62549579,76.9519329,69.93333333,,,,,160,26,,23.8
3909,28.60949579,76.9519329,79.42218414,55.01818182,101.6041667,144.4615385,116.85,101.5357143,54.44827586,28.18181818,33.27777778
3912,28.59749579,76.9519329,89,,,,,,,89,
3918,28.57349579,76.9519329,55.12294902,32.97142857,73.43478261,67.54761905,77.23809524,79.45833333,49.20833333,34.925,26.2
3919,28.56949579,76.9519329,75,,,,47,,103,,
3929,28.52949579,76.9519329,61.65531037,,,92.60416667,92.80645161,80.5,47.61904762,33.30645161,23.09574468
4018,28.65149579,76.955397,61,,,,,,61,,
4019,28.64749579,76.955397,85.8224663,64.8852459,92.64285714,120.122807,106.625,196.6253444,46.375,34.05347594,25.25
4020,28.64349579,76.955397,19,,,,,,19,,19
4025,28.62349579,76.955397,71.61428571,58.57142857,39.5,,,147.5,69,,43.5
4029,28.60749579,76.955397,86.56811536,57.87179487,97.24,169.8095238,120.8125,103.4230769,61.23076923,45.03225806,37.125
4036,28.57949579,76.955397,65.30331387,34.375,108.8461538,95,81.8125,77.07142857,56.71428571,45.52380952,23.08333333
4037,28.57549579,76.955397,73.14947917,35.35294118,97.375,128.4166667,106.4,94.9375,64.4,44.64705882,13.66666667
4038,28.57149579,76.955397,64,,64,,,,,,
4039,28.56749579,76.955397,75,,,,42,,108,,
4048,28.53149579,76.955397,66.99462331,44.33333333,43.36363636,106.1481481,117.7662338,66.29166667,77,50.91111111,30.14285714
4102,28.79749579,76.95886111,120.3333333,,,81,,86,,194,
4107,28.77749579,76.95886111,104,,,104,,,,,
4138,28.65349579,76.95886111,144,,,,,,144,,
4140,28.64549579,76.95886111,78.83124372,68.35294118,74.05555556,113.2692308,109.5,126.2222222,81,45.25,13
4141,28.64149579,76.95886111,90.53827856,72.25531915,99.72222222,128.1219512,113.6896552,180.8928571,55.92857143,37,36.69565217
4142,28.63749579,76.95886111,79.8,116,,,84,,138,41,20
4146,28.62149579,76.95886111,71.2625,59.3,,,,118,76,,31.75
4149,28.60949579,76.95886111,84.02234479,60.10344828,110.5681818,158.4857143,99.14754098,105.5,53.53191489,45.07272727,39.76923077
4154,28.58949579,76.95886111,64.89706214,51.3,81.2,106.2857143,78,74.60606061,66.3125,42.25,19.22222222
4155,28.58549579,76.95886111,44.82164311,40.0375,38.27272727,65,60.09090909,45.75,51.77777778,36.76923077,20.875
4156,28.58149579,76.95886111,68.72387153,36.25,114.71875,116.5,79.73333333,80.2,57.33333333,43.55555556,21.5
4159,28.56949579,76.95886111,208,,72.5,,343.5,,,,
4160,28.56549579,76.95886111,236.5,,75,,398,,,,
4167,28.53749579,76.95886111,63.53986743,28,62,85.57142857,108.6,99.0952381,75.7,34.625,14.72727273
4168,28.53349579,76.95886111,90.87848801,35,147,141.625,136.3636364,87.95454545,97.72222222,40.5625,40.8
4220,28.80349579,76.96232521,78.08666667,38,,191.1666667,,96.66666667,38,,26.6
4221,28.79949579,76.96232521,65.02154195,40,,133.2222222,92,83.66666667,25,50.42857143,30.83333333
4222,28.79549579,76.96232521,52.38888889,28,,127,,87,23,35.33333333,14
4223,28.79149579,76.96232521,53.76,29,,81,,88,,42,28.8
4224,28.78749579,76.96232521,57.77777778,16,,164.6,,88,20,36.66666667,21.4
