place,Lat,Long,01/10/19_av,02/10/19_av,01/10/19 01:00,01/10/19 02:00,01/10/19 03:00,01/10/19 04:00,01/10/19 05:00,01/10/19 06:00,01/10/19 07:00,01/10/19 08:00,01/10/19 09:00,01/10/19 10:00,01/10/19 11:00,01/10/19 12:00,01/10/19 13:00,01/10/19 14:00,01/10/19 15:00,01/10/19 16:00,01/10/19 17:00,01/10/19 18:00,01/10/19 19:00,01/10/19 20:00,01/10/19 21:00,01/10/19 22:00,01/10/19 23:00,02/10/19 00:00,02/10/19 01:00,02/10/19 02:00,02/10/19 03:00,02/10/19 04:00,02/10/19 05:00,02/10/19 06:00,02/10/19 07:00,02/10/19 08:00,02/10/19 09:00,02/10/19 10:00,02/10/19 11:00,02/10/19 12:00,02/10/19 13:00,02/10/19 14:00,02/10/19 15:00,02/10/19 16:00,02/10/19 17:00,02/10/19 18:00,02/10/19 19:00,02/10/19 20:00,02/10/19 21:00,02/10/19 22:00,02/10/19 23:00,,,,,,,,,,
Alipur  Delhi - DPCC ,28.7959955,77.1360706,38.58695652,39.57291667,44.5,40.5,43.5,51.5,56,53,51,55.5,44,31,40.5,43,31,24.5,24.5,20.5,20.5,32,45.5,40.5,30,32,32.5,32,29,30.5,38,45.5,59,67.5,68,68.5,57,35,21.5,17,16,16,19,19.75,19.75,22.75,33,55.75,50.5,53.75,75,,,,,,,,,,
Anand Vihar  Delhi - DPCC ,28.641115,77.3125024,31.18478261,45.17708333,28,30,29.25,32,17.25,12.75,26.75,35.75,41.75,51.5,46.25,43.5,42,27.5,24.75,26.25,18,28.5,33.25,31.75,25.5,29.25,35.75,36.5,40.5,38.75,39.25,40.5,33.25,34.25,39,51.25,49.5,41.5,41.5,47.75,53.5,53.25,46,37.5,26.5,21,40.25,58.75,71.75,62.75,79.5,,,,,,,,,,
Ashok Vihar  Delhi - DPCC ,28.6994533,77.1848256,29.0326087,32.95833333,28,20.25,24,21.5,14.5,18.25,26,28.5,25.25,19.75,22.75,34.5,37.5,41.25,39,39.25,37.5,30.25,29.5,27.25,33.25,32.25,37.5,42.75,39.75,23,22,26,21.25,26,28.5,27.75,29.5,31,40.5,44.5,50.75,42.25,25.25,16.25,13.5,17.5,35.25,43.25,53.25,45,46.25,,,,,,,,,,
Aya Nagar  Delhi - IMD ,28.476491,77.1329132,33.21130435,54.46958333,43.79,39.72,31.87,7.17,8.57,32.93,55.68,28.92,15.54,42.82,72.82,76.92,44.24,18.1,41.2,36.9,29,15.51,11.84,40.43,30.96,23.27,15.66,27.95,71.29,72.37,58.91,42.32,46.25,56.99,44.17,30.44,13.01,38.31,47.96,48.63,14.6,30.87,62.18,69.26,58.79,51.34,65.63,93.91,99.72,104.32,58.05,,,,,,,,,,
Bawana  Delhi - DPCC ,28.79966,77.0328847,49.09782609,51.02083333,57.75,52.75,71,71,33.25,30,38,43.25,41.25,45.5,54,51.5,62,61.75,56.75,43.5,41,40.25,48,48.5,43.5,49.5,45.25,46,46.5,47,58.25,95.75,78.5,71.25,59.75,49.5,47.75,49,54,49.25,41.75,35,33.5,28.75,28,28,36,48,56,62,75,,,,,,,,,,
CRRI Mathura Road  Delhi - IMD ,28.5500925,77.2751557,25.51608696,40.09458333,18.09,22.44,25.58,25.27,11.96,24.94,28.33,34.62,18.16,31.05,40.54,25.97,16.33,20.05,38.03,20.89,9.13,17.25,33.18,28.58,23.99,30.85,41.64,36.24,19.35,25.59,33.51,24.25,16.33,19.74,28.65,19.45,10.69,45.68,45.55,39.17,33.83,40.3,33.17,46.49,61.39,37.19,23.05,67.28,68.26,85.68,101.43,,,,,,,,,,
DTU  Delhi - CPCB ,28.7496286,77.1129418,36.80695652,43.45083333,33.95,34.57,30.07,29.13,25.61,27.75,33.31,37.27,38.65,29.93,33.71,40.41,47.29,50.97,47.65,44.24,34.49,42.56,40.76,33.92,37.43,37.64,35.25,45.22,44.47,44.65,42.17,57.57,56.28,31.73,36.82,32.36,43.2,38.53,59.91,52.72,41.89,31.34,26.51,21.03,27.66,24.83,39.47,51.77,63.52,65.85,63.32,,,,,,,,,,
Dr. Karni Singh Shooting Range  Delhi - DPCC ,28.5000822,77.2675147,26.57608696,36.83333333,28.25,22,18.75,19,22.25,23.25,29.75,45.75,41.75,31,31,29.25,23,20.5,23.25,24.5,18.5,22.25,21.75,27.75,29.25,27.75,30.75,35,42,42,30.25,23.5,30.5,33.5,21.75,26,22.75,22,22.75,21.25,28.5,29.5,32.5,46.5,48.5,49,47.75,59,71,53,45.5,,,,,,,,,,
Dwarka-Sector 8  Delhi - DPCC  ,28.5656109,77.0670366,39.61956522,51.45833333,28.75,32.5,28,27.75,25.25,21.75,33,51.5,53,50.75,46,52,51,44.75,37.25,42.5,38.5,41,44.25,44.25,43.25,42.5,31.75,41.75,50.5,59.75,56,53.75,47,27,27.5,29.5,31,33.75,41.25,39.75,41.5,44.25,58.5,61,55,60,74.25,76.25,87.75,77.25,60.75,,,,,,,,,,
IGI Airport (T3)  Delhi - IMD ,28.5549889,77.0846854,31.15565217,43.27666667,32.01,27.11,21.81,24.47,28.64,26.15,34.6,32.87,31.66,31.64,40.43,50.32,34.18,40.77,32.77,17.89,27,29.49,26.22,27.34,34.14,28.05,37.02,50.12,58.37,51.47,49.38,30.95,41.74,44.81,25.91,22.33,28.44,29.27,28.59,34.77,42.47,48.96,62.4,58.95,44.22,36.2,41.2,40.94,44.42,58.27,64.46,,,,,,,,,,
